Time,Bus1 PU,Bus2 PU,Bus3 PU,Bus4 PU,Bus5 PU,Bus6 PU,Bus7 PU,Bus8 PU,Bus9 PU,Bus10 PU,Bus1 Angle,Bus2 Angle,Bus3 Angle,Bus4 Angle,Bus5 Angle,Bus6 Angle,Bus7 Angle,Bus8 Angle,Bus9 Angle,Bus10 Angle
00:00:00,1,1,1,0.99719,0.99507,0.99176,0.97529,0.96654,0.95887,0.95006,0,2.73572,2.58302,2.23846,2.06087,1.64335,0.54197,-0.48186,-0.55472,-1.58853
01:00:00,1,1,1,0.99721,0.99513,0.99185,0.97496,0.96597,0.9567,0.94603,0,2.87595,2.75224,2.41544,2.24205,1.83397,0.71359,-0.32999,-0.41591,-1.66624
02:00:00,1,1,1,0.99717,0.99504,0.99171,0.97429,0.96501,0.95496,0.94337,0,2.87956,2.75619,2.41521,2.23974,1.82653,0.67543,-0.39829,-0.49044,-1.84852
03:00:00,1,1,1,0.99731,0.99529,0.99212,0.97555,0.96672,0.95712,0.94607,0,2.98778,2.8877,2.56263,2.39534,2.00161,0.90439,-0.11731,-0.20572,-1.49979
04:00:00,1,1,1,0.99736,0.99537,0.99226,0.97614,0.96755,0.95853,0.94816,0,2.994,2.89556,2.57469,2.4095,2.02091,0.94941,-0.04709,-0.13086,-1.34458
05:00:00,1,1.0001,1.00015,0.99743,0.99537,0.99218,0.97551,0.96672,0.95731,0.94666,0,2.88887,2.76766,2.43045,2.2565,1.84802,0.71747,-0.33109,-0.42329,-1.69886
06:00:00,1,1.00021,1.00031,0.99664,0.99388,0.9896,0.96759,0.95609,0.94466,0.93169,0,2.07755,1.78238,1.33281,1.1007,0.55433,-0.93374,-2.32608,-2.43638,-4.00643
07:00:00,1,1.00006,1.00009,0.99489,0.99106,0.98505,0.95524,0.93966,0.92633,0.9115,0,0.9015,0.35597,-0.24766,-0.55877,-1.29616,-3.25503,-5.12042,-5.25766,-7.13898
08:00:00,1,1,1,0.99351,0.98879,0.9813,0.94314,0.92303,0.90384,0.88156,0,0.28398,-0.39517,-1.10583,-1.4709,-2.34284,-4.73331,-7.06132,-7.22427,-9.96606
09:00:00,1,1,1,0.99288,0.98776,0.97955,0.93662,0.91387,0.88988,0.86141,0,0.15715,-0.55116,-1.30272,-1.68787,-2.61192,-5.2246,-7.80349,-7.98003,-11.44266
10:00:00,1,1,1,0.99272,0.98749,0.9791,0.93492,0.91147,0.88619,0.85609,0,0.12917,-0.58568,-1.34742,-1.73754,-2.67462,-5.34484,-7.98963,-8.16993,-11.83138
11:00:00,1,1,1,0.99263,0.98735,0.97886,0.93394,0.91008,0.88389,0.85266,0,0.13279,-0.58174,-1.34787,-1.74007,-2.68281,-5.38611,-8.06929,-8.253,-12.05669
12:00:00,1,1.00001,1.00001,0.99282,0.98765,0.97936,0.93583,0.91274,0.88806,0.85872,0,0.15073,-0.55929,-1.31531,-1.70264,-2.6324,-5.27326,-7.88422,-8.06289,-11.63087
13:00:00,1,1.00001,1.00001,0.99314,0.9882,0.98027,0.93854,0.91639,0.89239,0.86392,0,0.35844,-0.30731,-1.03445,-1.40702,-2.30027,-4.84409,-7.34915,-7.52579,-10.98073
14:00:00,1,1,1,0.9935,0.98881,0.9813,0.94174,0.92073,0.89784,0.87074,0,0.57719,-0.0417,-0.73604,-1.09189,-1.94379,-4.36895,-6.74593,-6.91724,-10.1911
15:00:00,1,1,1,0.99356,0.9889,0.98146,0.94252,0.92187,0.89991,0.87397,0,0.55311,-0.07039,-0.76266,-1.11762,-1.96683,-4.36497,-6.71101,-6.87853,-10.01258
16:00:00,1,1,0.99994,0.99316,0.98825,0.98044,0.9409,0.92008,0.90077,0.87833,0,0.06691,-0.6576,-1.39554,-1.77465,-2.68093,-5.15138,-7.56419,-7.72813,-10.497
17:00:00,1,1,0.9998,0.99346,0.98883,0.98152,0.94606,0.92744,0.91363,0.89758,0,0.02514,-0.70376,-1.41578,-1.78237,-2.65553,-4.91753,-7.10376,-7.22629,-9.17247
18:00:00,1,1,1,0.99406,0.98969,0.98284,0.95059,0.9337,0.92357,0.91188,0,0.08872,-0.62699,-1.30992,-1.66204,-2.49842,-4.58815,-6.59152,-6.68689,-8.10212
19:00:00,1,1,0.99996,0.99402,0.98965,0.9828,0.95078,0.93401,0.92451,0.91355,0,0.04336,-0.68119,-1.36608,-1.7193,-2.55808,-4.63761,-6.62975,-6.71992,-8.0463
20:00:00,1,1.00002,1.00002,0.99427,0.99004,0.98341,0.95256,0.93642,0.92764,0.91756,0,0.1478,-0.55472,-1.22274,-1.5674,-2.38498,-4.39987,-6.32434,-6.40914,-7.63156
21:00:00,1,1.00005,1.00007,0.99476,0.99084,0.9847,0.95618,0.94126,0.93318,0.92392,0,0.4635,-0.1719,-0.79741,-1.12029,-1.88471,-3.76394,-5.54931,-5.62752,-6.74475
22:00:00,1,1.00015,1.00022,0.99562,0.99218,0.98684,0.96163,0.94847,0.94048,0.93133,0,1.02948,0.5139,-0.04273,-0.33032,-1.00896,-2.69859,-4.29039,-4.36796,-5.46613
23:00:00,1,1.00015,1.00022,0.99674,0.99412,0.99004,0.97027,0.95991,0.95221,0.9434,0,2.03013,1.72705,1.29454,1.07106,0.54576,-0.79791,-2.04988,-2.12421,-3.16954
